0.11,-0.45,1.08,0.57,1.53,1.1,3.13,0
-0.05,1.57,1.66,2.63,4.58,5.38,5.85,0
-0.53,0.71,2.48,4.78,2.33,3.37,4.3,0
-1.21,0.6,1.99,1.2,1.64,1.26,3.62,0
0.03,-1.44,-0.51,1.73,-0.88,1.59,3.24,1
0.17,1.7,1.62,0.22,2.15,3.03,4.47,0
0.06,-0.5,2.39,3.59,0.46,3.62,6.44,1
0.21,0.88,0.47,1.98,2.22,1.88,3.05,0
-0.09,0.61,-0.32,0.27,1.09,1.36,0.21,0
0.72,-1.15,-1.04,2.45,0.53,0.83,1.58,0
-0.53,2.03,1.39,3.84,4.53,5.53,5.05,0
-0.1,2.52,2.01,0.16,2.51,3.34,5.69,0
-0.53,0.41,-0.47,0.83,2.26,1.48,1.85,1
-1.06,-0.32,1.41,1.47,5.08,5.06,3.21,0
-0.46,1.58,1.42,2.71,2.26,3.12,6.05,0
1.08,-0.16,2.87,0.21,-0.03,1.6,2.84,0
0.83,0.97,0.68,-0.05,1.15,1.33,3.28,0
-1.4,-1.45,-0.83,-0.67,-1.57,-0.06,0.52,1
-0.44,1.51,1.28,1.9,3,1.95,4.63,0
-0.31,-0.54,-0.55,0.62,-0.45,1.14,-0.04,1
-2.68,-0.67,0.82,0.51,-0.17,2.51,1.88,1
-0.9,-0.15,-0.31,0.53,2.26,2.8,-0.15,1
-0.91,-0.07,-0.74,0.72,0.8,2.41,4.01,0
0.64,1.78,-0.21,-1.45,1.14,1.23,2.27,1
0.76,-0.06,0.1,-0.56,1.29,-0.29,2.63,1
-0.22,-0.41,0.64,0.85,1.61,3.11,3.2,0
0.14,0.31,0.5,2.84,-3.47,1.65,0.71,1
0.37,-0.34,-0.58,0.44,0.46,-0.98,0.59,1
0.75,0.79,-0.88,0.03,0.28,-0.64,2.03,1
-0.43,-0.99,0.65,1.99,3.3,3.9,2.39,0
-0.06,0.48,0.98,1.59,2.53,1.62,4.62,0
0.82,-0.62,1.71,0.88,0.79,1.35,-0.02,0
-1.41,0.7,0.62,-0.67,0.05,0.96,1.99,0
-0.14,1.28,0.34,1.98,1.7,3.1,1.92,1
-0.28,-0.76,1.48,0.64,1.82,1.19,2.81,0
-1.16,-0.96,0.6,0.14,0.26,-0.26,-1.44,0
0.23,2,1.09,2.61,2.81,2.56,5.2,0
-0.63,0.27,3.09,1.19,3.38,3.22,6.02,0
-0.45,0.05,1.63,-0.08,0.97,1.19,2.75,0
-1.26,0.33,0.61,3.03,0.07,3.54,2.43,1
-0.68,0.78,1.26,-1,-0.4,2.99,1.19,0
2.48,-0.18,-0.17,-0.07,2.73,0.83,-1.12,1
-0.38,0.2,1.97,2.13,-0.07,1.28,1.62,0
0.49,0.08,0.14,0.45,2.66,2.34,2.55,0
-0.38,-1.25,0.48,2.36,3.04,3.55,2.85,0
-0.75,-0.5,0.49,-2.2,-0.86,1.12,1.52,1
-0.92,-1.11,1.86,-0.76,0.92,1.34,0.14,1
1.88,-0.53,0.54,-1.27,0.01,-1.28,-0.76,1
1.51,-1.28,-0.01,0.59,0.11,1.18,2.27,0
-0.12,2.33,-0.27,-0.67,-1.56,0.93,2.21,0
-0.88,1.19,-0.49,-0.11,0.75,2.04,3.62,0
